
"\n    Timestamp: 2025-05-11T07:13:10.084Z\n    Méthode: POST\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T07:13:10.469Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T07:13:10.471Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T07:26:04.114Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T07:26:05.165Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:45:23.966Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:45:46.061Z\n    Méthode: GET\n    URL: /\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:45:46.148Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:45:55.298Z\n    Méthode: GET\n    URL: /journal\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:46:03.644Z\n    Méthode: GET\n    URL: /logout\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
"\n    Timestamp: 2025-05-11T18:46:03.724Z\n    Méthode: GET\n    URL: /auth\n    IP: ::1\n    User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36\n    Statut: 200\n  "
